"GroundSpeed";"Heading";"IsDelayed";"IsOnRoute";"Latitude";"Longitude";"Name";"RouteID";"Seconds";"TimeStamp";"VehicleID";"timestamp"
0;0;FALSE;TRUE;39.67513;-75.74134;"Bus 320";29;17;"/Date(1734202496000-0700)/";13;"2024-12-14_115439_AM_UTC"
0;0;FALSE;TRUE;39.67513;-75.74133;"Bus 320";29;17;"/Date(1734202501000-0700)/";13;"2024-12-14_115444_AM_UTC"
0;0;FALSE;TRUE;39.67513;-75.74133;"Bus 320";29;13;"/Date(1734202501000-0700)/";13;"2024-12-14_115449_AM_UTC"
0;0;FALSE;TRUE;39.67513;-75.74133;"Bus 320";29;14;"/Date(1734202507000-0700)/";13;"2024-12-14_115454_AM_UTC"
0;0;FALSE;TRUE;39.67513;-75.74133;"Bus 320";29;14;"/Date(1734202512000-0700)/";13;"2024-12-14_115459_AM_UTC"
0;0;FALSE;TRUE;39.67512;-75.74133;"Bus 320";29;18;"/Date(1734202522000-0700)/";13;"2024-12-14_115505_AM_UTC"
0;0;FALSE;TRUE;39.67512;-75.74132;"Bus 320";29;17;"/Date(1734202527000-0700)/";13;"2024-12-14_115510_AM_UTC"
0;0;FALSE;TRUE;39.67512;-75.74132;"Bus 320";29;17;"/Date(1734202532000-0700)/";13;"2024-12-14_115515_AM_UTC"
0;0;FALSE;TRUE;39.67512;-75.74132;"Bus 320";29;17;"/Date(1734202537000-0700)/";13;"2024-12-14_115520_AM_UTC"
0;0;FALSE;TRUE;39.67512;-75.74132;"Bus 320";29;17;"/Date(1734202542000-0700)/";13;"2024-12-14_115525_AM_UTC"
0;0;FALSE;TRUE;39.67512;-75.74132;"Bus 320";29;17;"/Date(1734202547000-0700)/";13;"2024-12-14_115530_AM_UTC"
0;0;FALSE;TRUE;39.67513;-75.74132;"Bus 320";29;16;"/Date(1734202552000-0700)/";13;"2024-12-14_115536_AM_UTC"
0;0;FALSE;TRUE;39.67513;-75.74132;"Bus 320";29;16;"/Date(1734202557000-0700)/";13;"2024-12-14_115541_AM_UTC"
0;0;FALSE;TRUE;39.67515;-75.74131;"Bus 320";29;16;"/Date(1734202562000-0700)/";13;"2024-12-14_115546_AM_UTC"
0;0;FALSE;TRUE;39.67515;-75.74131;"Bus 320";29;16;"/Date(1734202567000-0700)/";13;"2024-12-14_115551_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.7413;"Bus 320";29;16;"/Date(1734202572000-0700)/";13;"2024-12-14_115556_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.7413;"Bus 320";29;15;"/Date(1734202577000-0700)/";13;"2024-12-14_115602_AM_UTC"
0;0;FALSE;TRUE;39.67516;-75.7413;"Bus 320";29;15;"/Date(1734202582000-0700)/";13;"2024-12-14_115607_AM_UTC"
0;0;FALSE;TRUE;39.67517;-75.74128;"Bus 320";29;15;"/Date(1734202587000-0700)/";13;"2024-12-14_115612_AM_UTC"
0;0;FALSE;TRUE;39.67517;-75.74128;"Bus 320";29;15;"/Date(1734202592000-0700)/";13;"2024-12-14_115617_AM_UTC"
0;0;FALSE;TRUE;39.67517;-75.74128;"Bus 320";29;15;"/Date(1734202597000-0700)/";13;"2024-12-14_115622_AM_UTC"
