"date","busOrRouteName","busesOrRoutes","idleTime","runTime","idleRatio"
"2024-12-06 05:53:57","29","Bus 188, Bus 236, Bus 312, Bus 317, Bus 318, Bus 319, Bus 320, Bus 322, Bus 325",63153,58885,1.07248025813025
"2024-12-06 06:09:19","28","Bus 180, Bus 320, Bus 322, Bus 324",20792,54660,0.380387852177095
"2024-12-06 06:59:10","30","Bus 180, Bus 311, Bus 313, Bus 319, Bus 320",34424,56339,0.611015459983315
"2024-12-06 15:59:41","53","Bus 180",3993,25311,0.157757496740548
"2024-12-06 18:35:01","52","Bus 311, Bus 320",3538,8908,0.397171082173327
"2024-12-07 10:33:11","Bus 320","31",12404,39254,0.315993274570744
"2024-12-07 10:33:11","total","allBuses",12404,39254,0.315993274570744
"2024-12-07 10:33:11","31","Bus 320",12404,39254,0.315993274570744
"2024-12-08 10:32:24","Bus 236","31",7879,39083,0.201596602103216
"2024-12-08 10:32:24","total","allBuses",7879,39083,0.201596602103216
"2024-12-08 10:32:24","31","Bus 236",7879,39083,0.201596602103216
"2024-12-09 05:33:57","Bus 236","29, 31",11216,35180,0.318817509948835
"2024-12-09 06:30:11","Bus 324","28",6829,26148,0.261167202080465
"2024-12-09 06:37:07","Bus 320","29, 31",10282,26455,0.388659988659989
"2024-12-09 06:58:55","Bus 180","29, 30",7596,24627,0.308441953952978
"2024-12-09 07:57:11","Bus 322","28",12915,51570,0.25043630017452
"2024-12-09 08:01:27","Bus 318","29",2514,10099,0.248935538172096
"2024-12-09 08:09:25","Bus 319","30",21879,52228,0.418913226621735
"2024-12-09 08:51:06","Bus 311","29, 30",6787,20075,0.338082191780822
"2024-12-09 10:54:57","Bus 188","29",8406,23684,0.354923154872488
"2024-12-09 11:47:58","Bus 316","30",9887,25460,0.388334642576591
"2024-12-09 11:50:18","Bus 313","29, 30",8079,28099,0.287519128794619
"2024-12-09 11:56:38","Bus 317","29",7133,24934,0.286075238629983
"2024-12-09 14:57:40","Bus 325","29",10680,28497,0.374776292241289
"2024-12-09 05:33:57","total","allBuses",124203,377056,0.329401998642112
"2024-12-09 05:33:57","31","Bus 236, Bus 320",1263,4563,0.276791584483892
"2024-12-09 05:46:50","29","Bus 180, Bus 188, Bus 236, Bus 311, Bus 313, Bus 317, Bus 318, Bus 320, Bus 325",62379,61547,1.01351812436024
"2024-12-09 06:30:11","28","Bus 322, Bus 324",19744,56790,0.347666842754006
"2024-12-09 06:58:55","30","Bus 180, Bus 311, Bus 313, Bus 316, Bus 319",40817,56458,0.72296220199086
"2024-12-10 05:49:35","Bus 236","29",11141,34524,0.322703047155602
"2024-12-10 06:41:51","Bus 311","29",7918,26043,0.304035633375571
"2024-12-10 06:58:28","Bus 188","28, 29",7289,26398,0.276119402985075
"2024-12-10 07:00:34","Bus 320","29",10093,25071,0.402576682222488
"2024-12-10 07:29:36","Bus 312","30",17208,40990,0.419809709685289
"2024-12-10 07:38:02","Bus 319","30",23170,54474,0.425340529426883
"2024-12-10 07:57:50","Bus 322","28",12465,51525,0.241921397379913
"2024-12-10 08:01:20","Bus 318","29",9679,33367,0.29007702220757
"2024-12-10 11:37:27","Bus 313","29, 30",1473,4202,0.350547358400762
"2024-12-10 11:50:26","Bus 317","29",7212,25194,0.286258633007859
"2024-12-10 14:05:38","Bus 180","29",6035,19750,0.305569620253165
"2024-12-10 15:15:58","Bus 325","29",9876,26135,0.377884063516357
"2024-12-10 05:49:35","total","allBuses",123559,367673,0.336056767834462
"2024-12-10 05:49:35","29","Bus 180, Bus 188, Bus 236, Bus 311, Bus 313, Bus 317, Bus 318, Bus 320, Bus 325",63300,60118,1.05292923916298
"2024-12-10 06:58:28","28","Bus 188, Bus 322",19719,55087,0.357961043440376
"2024-12-10 07:29:36","30","Bus 312, Bus 313, Bus 319",40540,54980,0.737359039650782
"2024-12-11 05:44:56","Bus 236","29",11419,34457,0.331398554720376
"2024-12-11 06:21:06","Bus 322","28",7069,25946,0.272450474061512
"2024-12-11 06:42:55","Bus 313","29, 30",1073,3223,0.332919640086876
"2024-12-11 06:56:10","Bus 180","30",8866,24907,0.355964186774802
"2024-12-11 07:00:57","Bus 320","28, 29",13217,57932,0.228146792791549
"2024-12-11 07:24:05","Bus 188","28, 29",8054,31854,0.252841087461543
"2024-12-11 07:48:30","Bus 318","29",10697,35697,0.299661035941396
