"Name","Latitude","Longitude","TimeStamp","RouteID","IsDelayed","IsOnRoute","timestampFromSampling","elapseTime","distance"
"Bus 236",39.67524,-75.74148,1733765652,31,FALSE,TRUE,"2024-12-09 05:33:57",60,0
"Bus 236",39.67526,-75.74149,1733765717,31,FALSE,TRUE,"2024-12-09 05:35:00",145,0
"Bus 236",39.67526,-75.74146,1733765867,31,FALSE,TRUE,"2024-12-09 05:37:30",123,0
"Bus 236",39.67527,-75.74144,1733765995,31,FALSE,TRUE,"2024-12-09 05:39:40",70,0
"Bus 236",39.67528,-75.74142,1733766075,31,FALSE,TRUE,"2024-12-09 05:40:57",10,0
"Bus 236",39.6753,-75.74142,1733766090,31,FALSE,TRUE,"2024-12-09 05:41:13",45,0
"Bus 236",39.67529,-75.74145,1733766140,31,FALSE,TRUE,"2024-12-09 05:42:05",10,0
"Bus 236",39.67529,-75.74141,1733766165,31,FALSE,TRUE,"2024-12-09 05:42:31",80,0
"Bus 236",39.67528,-75.74144,1733766250,31,FALSE,TRUE,"2024-12-09 05:43:54",10,0
"Bus 236",39.67527,-75.74147,1733766265,31,FALSE,TRUE,"2024-12-09 05:44:09",30,0
"Bus 236",39.67528,-75.74144,1733766300,31,FALSE,TRUE,"2024-12-09 05:44:46",20,0
"Bus 236",39.67529,-75.7415,1733766335,31,FALSE,TRUE,"2024-12-09 05:45:22",25,0
"Bus 236",39.67528,-75.74148,1733766365,31,FALSE,TRUE,"2024-12-09 05:45:48",20,0
"Bus 236",39.67527,-75.74146,1733766390,31,FALSE,TRUE,"2024-12-09 05:46:14",10,0
"Bus 236",39.67525,-75.74144,1733766405,31,FALSE,TRUE,"2024-12-09 05:46:30",30,0
"Bus 236",39.67526,-75.74146,1733766440,29,FALSE,TRUE,"2024-12-09 05:47:06",10,0
"Bus 236",39.68202,-75.74513,1733766606,29,FALSE,TRUE,"2024-12-09 05:49:52",10,0
"Bus 236",39.68202,-75.7451,1733766621,29,FALSE,TRUE,"2024-12-09 05:50:08",10,0
"Bus 236",39.68204,-75.74511,1733766636,29,FALSE,TRUE,"2024-12-09 05:50:23",25,0
"Bus 236",39.68206,-75.74511,1733766666,29,FALSE,TRUE,"2024-12-09 05:50:49",30,0
"Bus 236",39.68533,-75.75815,1733766851,29,FALSE,TRUE,"2024-12-09 05:53:56",10,0
"Bus 236",39.68803,-75.75887,1733766921,29,FALSE,TRUE,"2024-12-09 05:55:09",30,0
"Bus 236",39.68803,-75.75884,1733766956,29,FALSE,TRUE,"2024-12-09 05:55:40",15,0
"Bus 236",39.68802,-75.75881,1733766976,29,FALSE,TRUE,"2024-12-09 05:56:00",25,0
