"Name","Latitude","Longitude","TimeStamp","RouteID","IsDelayed","IsOnRoute","timestampFromSampling","elapseTime","distance"
"Bus 324",39.67496,-75.74134,1734114499,28,FALSE,TRUE,"2024-12-13 06:28:06",25,0
"Bus 324",39.67495,-75.74136,1734114529,28,FALSE,TRUE,"2024-12-13 06:28:32",55,0
"Bus 324",39.67497,-75.74136,1734114589,28,FALSE,TRUE,"2024-12-13 06:29:35",10,0
"Bus 324",39.67499,-75.74135,1734114604,28,FALSE,TRUE,"2024-12-13 06:29:50",10,0
"Bus 324",39.67498,-75.74137,1734114619,28,FALSE,TRUE,"2024-12-13 06:30:06",40,0
"Bus 324",39.67497,-75.74135,1734114664,28,FALSE,TRUE,"2024-12-13 06:30:48",25,0
"Bus 324",39.67495,-75.74136,1734114694,28,FALSE,TRUE,"2024-12-13 06:31:19",10,0
"Bus 324",39.67493,-75.74137,1734114709,28,FALSE,TRUE,"2024-12-13 06:31:34",20,0
"Bus 324",39.67495,-75.74137,1734114734,28,FALSE,TRUE,"2024-12-13 06:32:00",10,0
"Bus 324",39.67497,-75.74135,1734114749,28,FALSE,TRUE,"2024-12-13 06:32:16",25,0
"Bus 324",39.67502,-75.74132,1734114794,28,FALSE,TRUE,"2024-12-13 06:32:57",10,0
"Bus 324",39.67504,-75.74131,1734114809,28,FALSE,TRUE,"2024-12-13 06:33:13",10,0
"Bus 324",39.67501,-75.74129,1734114834,28,FALSE,TRUE,"2024-12-13 06:33:39",10,0
"Bus 324",39.67503,-75.7413,1734114870,28,FALSE,TRUE,"2024-12-13 06:34:15",10,0
"Bus 324",39.675,-75.74133,1734114895,28,FALSE,TRUE,"2024-12-13 06:34:41",10,0
"Bus 312",39.67491,-75.74114,1734115452,29,FALSE,TRUE,"2024-12-13 06:43:57",10,0
"Bus 312",39.67547,-75.74102,1734115527,29,FALSE,TRUE,"2024-12-13 06:45:10",10,0
"Bus 236",39.66431,-75.7555,1734115540,29,FALSE,TRUE,"2024-12-13 06:45:26",15,0
"Bus 312",39.67547,-75.74099,1734115542,29,FALSE,TRUE,"2024-12-13 06:45:26",30,0
"Bus 312",39.67545,-75.74098,1734115577,29,FALSE,TRUE,"2024-12-13 06:46:02",15,0
"Bus 312",39.67543,-75.74099,1734115598,29,FALSE,TRUE,"2024-12-13 06:46:23",35,0
"Bus 312",39.67541,-75.74099,1734115638,29,FALSE,TRUE,"2024-12-13 06:47:05",10,0
"Bus 312",39.67539,-75.741,1734115653,29,FALSE,TRUE,"2024-12-13 06:47:20",25,0
"Bus 312",39.6754,-75.74102,1734115683,29,FALSE,TRUE,"2024-12-13 06:47:46",15,0
"Bus 312",39.67543,-75.74102,1734115703,29,FALSE,TRUE,"2024-12-13 06:48:07",15,0
"Bus 312",39.67545,-75.74102,1734115723,29,FALSE,TRUE,"2024-12-13 06:48:28",20,0
"Bus 312",39.67544,-75.741,1734115748,29,FALSE,TRUE,"2024-12-13 06:48:54",30,0
"Bus 312",39.67542,-75.741,1734115788,29,FALSE,TRUE,"2024-12-13 06:49:30",25,0
"Bus 312",39.67548,-75.74098,1734115833,29,FALSE,TRUE,"2024-12-13 06:50:17",10,0
"Bus 312",39.67561,-75.74053,1734115858,29,FALSE,TRUE,"2024-12-13 06:50:43",10,0
"Bus 312",39.67559,-75.74054,1734115873,29,FALSE,TRUE,"2024-12-13 06:50:59",15,0
"Bus 236",39.68132,-75.75365,1734115938,29,FALSE,TRUE,"2024-12-13 06:52:01",20,0
"Bus 312",39.67561,-75.74053,1734115893,29,FALSE,TRUE,"2024-12-13 06:51:19",85,0
"Bus 312",39.67559,-75.74052,1734115983,29,FALSE,TRUE,"2024-12-13 06:52:48",20,0
"Bus 312",39.67558,-75.74049,1734116008,29,FALSE,TRUE,"2024-12-13 06:53:14",25,0
"Bus 312",39.67559,-75.74051,1734116038,29,FALSE,TRUE,"2024-12-13 06:53:45",35,0
"Bus 236",39.68536,-75.75819,1734116073,29,FALSE,TRUE,"2024-12-13 06:54:16",40,0
"Bus 236",39.68807,-75.75883,1734116184,29,FALSE,TRUE,"2024-12-13 06:56:11",30,0
"Bus 236",39.68809,-75.75882,1734116224,29,FALSE,TRUE,"2024-12-13 06:56:47",15,0
"Bus 324",39.667483,-75.779276,1734115470,28,FALSE,TRUE,"2024-12-13 06:44:13",773,0
"Bus 236",39.68811,-75.75882,1734116244,29,FALSE,TRUE,"2024-12-13 06:57:08",10,0
"Bus 180",39.67531,-75.74156,1734116240,30,FALSE,TRUE,"2024-12-13 06:57:03",35,0
"Bus 324",39.66999,-75.77702,1734116308,28,FALSE,TRUE,"2024-12-13 06:58:15",15,0
"Bus 236",39.68809,-75.75882,1734116259,29,FALSE,TRUE,"2024-12-13 06:57:23",75,0
"Bus 236",39.68807,-75.75882,1734116339,29,FALSE,TRUE,"2024-12-13 06:58:46",25,0
"Bus 312",39.680467,-75.753518,1734116333,29,FALSE,TRUE,"2024-12-13 06:58:36",70,0
"Bus 236",39.68808,-75.75884,1734116369,29,FALSE,TRUE,"2024-12-13 06:59:12",91,0
"Bus 324",39.66566,-75.77629,1734116423,28,FALSE,TRUE,"2024-12-13 07:00:10",45,0
"Bus 180",39.68201,-75.74514,1734116455,30,FALSE,TRUE,"2024-12-13 07:00:41",35,0
"Bus 236",39.688103,-75.75656,1734116502,29,FALSE,TRUE,"2024-12-13 07:01:28",15,0
"Bus 312",39.68531,-75.75816,1734116543,29,FALSE,TRUE,"2024-12-13 07:02:10",10,0
"Bus 320",39.68177,-75.75368,1734116536,29,FALSE,TRUE,"2024-12-13 07:01:59",20,0
"Bus 312",39.68532,-75.75818,1734116558,29,FALSE,TRUE,"2024-12-13 07:02:25",25,0
"Bus 312",39.68533,-75.7582,1734116593,29,FALSE,TRUE,"2024-12-13 07:02:56",10,0
"Bus 320",39.67461,-75.75355,1734116641,29,FALSE,TRUE,"2024-12-13 07:03:48",20,0
"Bus 180",39.68526,-75.75814,1734116695,30,FALSE,TRUE,"2024-12-13 07:04:40",20,0
"Bus 312",39.690279,-75.756853,1734116768,29,FALSE,TRUE,"2024-12-13 07:05:53",25,0
"Bus 236",39.68163,-75.75384,1734116802,29,FALSE,TRUE,"2024-12-13 07:06:24",40,0
"Bus 236",39.680499,-75.7537,1734116867,29,FALSE,TRUE,"2024-12-13 07:07:33",10,0
"Bus 180",39.690279,-75.756853,1734116851,30,FALSE,TRUE,"2024-12-13 07:07:17",80,0
"Bus 324",39.680777,-75.74474,1734116924,28,FALSE,TRUE,"2024-12-13 07:08:30",10,0
"Bus 312",39.68428,-75.75899,1734116985,29,FALSE,TRUE,"2024-12-13 07:09:28",20,0
"Bus 180",39.69129,-75.76153,1734116996,30,FALSE,TRUE,"2024-12-13 07:09:39",10,0
"Bus 322",39.67499,-75.74143,1734116983,28,FALSE,TRUE,"2024-12-13 07:09:28",35,0
"Bus 312",39.68423,-75.75902,1734117020,29,FALSE,TRUE,"2024-12-13 07:10:05",10,0
"Bus 324",39.68341,-75.74547,1734117029,28,FALSE,TRUE,"2024-12-13 07:10:15",10,0
"Bus 312",39.68422,-75.75904,1734117035,29,FALSE,TRUE,"2024-12-13 07:10:20",10,0
"Bus 322",39.67499,-75.7414,1734117023,28,FALSE,TRUE,"2024-12-13 07:10:10",30,0
"Bus 322",39.67501,-75.74139,1734117058,28,FALSE,TRUE,"2024-12-13 07:10:41",20,0
"Bus 324",39.68344,-75.74547,1734117044,28,FALSE,TRUE,"2024-12-13 07:10:30",41,0
"Bus 236",39.66436,-75.75552,1734117083,29,FALSE,TRUE,"2024-12-13 07:11:07",20,0
"Bus 320",39.666567,-75.75265,1734117074,29,FALSE,TRUE,"2024-12-13 07:10:57",36,0
"Bus 324",39.68342,-75.74547,1734117095,28,FALSE,TRUE,"2024-12-13 07:11:17",20,0
"Bus 180",39.68419,-75.75905,1734117123,30,FALSE,TRUE,"2024-12-13 07:11:49",10,0
"Bus 236",39.66434,-75.75554,1734117108,29,FALSE,TRUE,"2024-12-13 07:11:33",35,0
"Bus 322",39.67503,-75.74139,1734117083,28,FALSE,TRUE,"2024-12-13 07:11:07",80,0
"Bus 180",39.68417,-75.75907,1734117138,30,FALSE,TRUE,"2024-12-13 07:12:04",31,0
